,IAW - WINDSOR PLANT,Forecast1,,,,,Month Remainder,,,,,,,,,,,,
FG1,FG2,FG3,FG4,,,,77%,,,,,,,,,,,,
86628825,-,-,-,,,,,,,,,,,,,,,,
MAGALIE SENECAL-J.,1715,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,,
Lead Time: 70d,1716,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
,,Total open po: 0,PO number,,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-,
,,,Month end stock,,,,"50,250"," 	43,850  "," 	38,940  "," 	37,340  "," 	32,430  "," 	30,830  "," 	25,920  "," 	24,320  "," 	19,410  "," 	17,810  "," 	12,900  "," 	9,590  ",
,,,Safety Stock,0,,,Notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
40125258,-,-,-,,,,,,,,,,,,,,,,
Rep: Maria Caso,Marque: Privée,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,,
Status: In-Use,300000003,BAG ODOUR BUSTER MC ENG/SPAN SC 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,
PACK,1710,"51,450",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	90  , 	-    , 	90  , 	-    , 	90  , 	-    , 	90  , 	-    , 	90  , 	-    ,
MAGALIE SENECAL-J.,1715,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,,
Lead Time: 70d,1716,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
,,Total open po: 0,PO number,,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-,
,,,Month end stock,,,,"51,450"," 	51,450  "," 	51,360  "," 	51,360  "," 	51,270  "," 	51,270  "," 	51,180  "," 	51,180  "," 	51,090  "," 	51,090  "," 	51,000  "," 	51,000  ",
,,,Safety Stock,0,,,Notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,,
Status: In-Use,300000004,WHITE BAG 15LB,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,
,1710,"16,350",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
MAGALIE SENECAL-J.,1715,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,,
Lead Time: 70d,1716,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
,,Total open po: 0,PO number,,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-,
,,,Month end stock,,,,"16,350"," 	16,350  "," 	16,350  "," 	16,350  "," 	16,350  "," 	16,350  "," 	16,350  "," 	16,350  "," 	16,350  "," 	16,350  "," 	16,350  "," 	16,350  ",
,,,Safety Stock,0,,,Notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
52018000,52018005,-,-,,,,,,,,,,,,,,,,
Rep: Ancien,Marque: Nationale,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,,
Status: In-Use,300000005,BAG IT'S JUST CAT LITTER 18KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,
PACK,1710,"3,700",Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ," 	1,080  ", 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
MAGALIE SENECAL-J.,1715,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,,
Lead Time: 70d,1716,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
,,Total open po: 0,PO number,,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-,
,,,Month end stock,,,,"2,700"," 	2,700  "," 	2,700  "," 	2,700  "," 	2,700  "," 	1,620  "," 	1,620  "," 	1,620  "," 	1,620  "," 	1,620  "," 	1,620  "," 	1,620  ",
,,,Safety Stock,1000,,,Notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
56006013,-,-,-,,,,,,,,,,,,,,,,
Rep: Cameron Livermore,Marque: Ultra Premium,FG on  Hand:,"1,176",Actuals vs Forecast,,,,,,,,,,,,,,,
Status: Phase-Out,300000006,BAG ODOUR LOCK BP 13LB,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,
PACK,1710,"11,025",Demand, 	-    , 	-    , 	-    , 	840  ," 	1,344  "," 	1,006  "," 	1,008  "," 	1,176  ", 	504  , 	522  ," 	1,512  ", 	672  , 	504  ," 	1,344  ", 	672  ,
ISABELLE PICARD,1715,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,,
Lead Time: 150d,1716,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
China A,,Total open po: 0,PO number,,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-,
,,,Month end stock,,,,"10,375"," 	9,031  "," 	8,025  "," 	7,017  "," 	5,841  "," 	5,337  "," 	4,815  "," 	3,303  "," 	2,631  "," 	2,127  ", 	783  , 	111  ,
,,,Safety Stock,0,,,Notes,,,,,,,,,,,,
